Temperature (0.1 deg C), Pressure (Pa), Distance (approx cm)
254, 98773, 4
254, 98767, 4
254, 98773, 4
254, 98770, 4
254, 98770, 4
254, 98767, 4
254, 98770, 4
254, 98761, 4
254, 98767, 4
254, 98761, 4
254, 98755, 4
254, 98758, 4
254, 98770, 4
254, 98770, 4
254, 98764, 4
254, 98758, 4
254, 98767, 4
254, 98758, 4
254, 98772, 4
254, 98775, 4
254, 98761, 4
254, 98767, 4
254, 98764, 4
254, 98770, 4
254, 98767, 4
254, 98767, 4
254, 98767, 4
254, 98761, 4
254, 98770, 4
254, 98772, 4
254, 98770, 4
254, 98772, 4
254, 98772, 4
254, 98770, 4
254, 98772, 4
254, 98758, 4
255, 98772, 4
255, 98778, 4
255, 98769, 4
255, 98778, 4
255, 98769, 4
255, 98769, 4
255, 98761, 4
255, 98769, 4
255, 98775, 4
255, 98772, 4
255, 98769, 4
255, 98781, 4
255, 98775, 4
255, 98781, 4
255, 98778, 4
255, 98778, 4
255, 98767, 4
255, 98775, 4
255, 98772, 4
255, 98775, 4
255, 98775, 4
255, 98772, 4
255, 98778, 4
255, 98769, 4
255, 98767, 4
255, 98781, 4
255, 98769, 4
255, 98772, 4
255, 98775, 4
255, 98767, 4
255, 98772, 4
255, 98784, 4
255, 98784, 4
255, 98778, 4
255, 98781, 4
255, 98781, 4
255, 98775, 4
255, 98784, 4
255, 98778, 4
255, 98791, 4
255, 98769, 4
255, 98781, 4
255, 98769, 4
255, 98781, 4
255, 98767, 4
255, 98772, 4
255, 98786, 4
255, 98772, 4
255, 98778, 4
255, 98784, 4
255, 98775, 4
255, 98778, 4
255, 98781, 4
255, 98784, 4
256, 98783, 4
255, 98781, 4
255, 98781, 4
255, 98775, 4
255, 98775, 4
255, 98781, 4
255, 98775, 4
255, 98781, 4
255, 98784, 4
255, 98778, 4
255, 98772, 4
255, 98769, 4
256, 98783, 4
255, 98772, 4
256, 98778, 4
255, 98778, 4
256, 98783, 4
255, 98772, 4
255, 98781, 4
255, 98781, 4
255, 98781, 4
255, 98794, 4
256, 98775, 4
256, 98783, 4
255, 98781, 4
255, 98778, 4
256, 98778, 4
256, 98778, 4
255, 98781, 4
256, 98772, 4
256, 98797, 4
256, 98783, 4
256, 98783, 4
256, 98791, 4
256, 98772, 4
256, 98786, 4
256, 98783, 4
256, 98783, 4
256, 98783, 4
256, 98786, 4
256, 98781, 4
256, 98772, 4
256, 98797, 4
256, 98791, 4
256, 98783, 4
256, 98783, 4
256, 98791, 4
256, 98794, 4
256, 98791, 4
256, 98791, 4
256, 98786, 4
256, 98791, 4
256, 98786, 4
256, 98791, 4
256, 98794, 4
256, 98783, 4
256, 98778, 4
256, 98791, 4
256, 98791, 4
256, 98783, 4
256, 98783, 4
256, 98797, 4
256, 98786, 4
256, 98791, 4
256, 98797, 4
256, 98800, 4
256, 98794, 4
256, 98794, 4
256, 98797, 4
256, 98786, 4
256, 98780, 4
256, 98791, 4
256, 98791, 4
256, 98786, 4
256, 98794, 4
256, 98786, 4
256, 98791, 4
256, 98794, 4
256, 98794, 4
256, 98794, 4
256, 98794, 4
256, 98794, 4
